County,HighSchoolGrad,BachelorsDegree,UnemploymentRate,PercentUrban,PerCapitaIncome,PercentPoverty,CountyPopulation, PopulationDensityPerSqMile,Region,RaceWhite,RaceNotWhite
Jim Hogg,74.9,11.1,7.2,82.6,30696,25.2,5248,4.66,South Texas,97.5,2.5
Jim Wells,73.4,10.7,7.5,59.91,40570,21.2,40822,47.21,South Texas,96.66,3.34
Johnson,83.8,17.7,3.8,62.13,41697,10.7,171361,208.27,North Texas,92.17,7.83
Jones,77.3,11,5.3,14.85,30559,22,19817,21.76,West Texas,83.03,16.97
Karnes,76.5,12.3,3.5,61.61,49593,21.8,15650,19.83,South Texas,88.26,11.74
Kaufman,84.5,19.4,3.5,51.18,42837,11.5,128622,132.38,North Texas,83.92,16.08
Kendall,93,39.3,3.1,41.84,84270,7.5,45641,50.43,South Texas,94.77,5.23
Kenedy,57.6,11.5,3.3,0,43561,14.3,442,0.29,South Texas,93.05,6.95
Kent,78.3,23.9,2.6,0,54858,13.3,726,0.9,West Texas,93.58,6.42
Kerr,86.6,26.2,3.4,58.9,50150,13.9,52405,44.98,South Texas,94.04,5.96
Kimble,83.1,17,3.5,55.7,43309,17.6,4362,3.68,West Texas,96.55,3.45
King,80.6,23.2,3.7,0,55661,13.7,277,0.31,West Texas,96.62,3.38
Kinney,67.2,13.2,5.5,79.54,30431,21.1,3767,2.65,South Texas,94.1,5.9
Kleberg,77.4,25.3,5.9,81.13,38997,25,31129,36.38,South Texas,90.64,9.36
Knox,80.1,18.3,4,0,38457,20.4,3653,4.37,West Texas,90.16,9.84
La Salle,63.7,14.6,3.7,53.65,35809,29.6,7531,4.63,South Texas,96.9,3.1
Lamar,84.5,16.7,4.2,52.92,40763,14.4,49728,54.89,East Texas,81.2,18.8
Lamb,74.2,17.4,5.2,42.31,38247,20,13158,13.75,West Texas,91.26,8.74
Lampasas,88.6,20.5,3.7,31.73,49457,12.9,21229,27.6,Central Texas,90.07,9.93
Lavaca,83,16.2,3.6,18.68,50919,13.5,20110,19.86,South Texas,90.62,9.38
Lee,82.3,17,3.3,30.28,46713,12.3,17144,26.41,Central Texas,85.15,14.85
Leon,84.5,16.7,6.3,0,40388,15.6,17270,15.66,Central Texas,89.54,10.46
Liberty,76.2,10,7.1,36.77,37237,15.1,86323,65.3,Upper Gulf Coast,86.31,13.69
Limestone,78.9,14.9,5.5,46.38,35771,22.2,23519,25.83,Central Texas,78.6,21.4
Lipscomb,80.1,17.7,3.2,0,64757,12,3355,3.54,Panhandle,92.45,7.55
Live Oak,79.2,11.1,4.7,0,35636,18.7,12166,11.09,South Texas,92.22,7.78
Llano,86.5,26.6,3.7,54.82,47476,12.3,21646,20.66,Central Texas,95.87,4.13
Loving,74.6,3,5,0,56730,3.3,152,0.12,West Texas,94.03,5.97
Lubbock,85.1,28,3.2,88.66,42569,17.6,307412,311.33,West Texas,86.72,13.28
Lynn,77.9,17.2,3.8,43.28,33119,18.3,5877,6.63,West Texas,93.57,6.43
Madison,77.6,12.3,4.6,32.6,30435,17.9,14422,29.32,Central Texas,75.62,24.38
Marion,80.3,12.7,5.7,0,38063,21.9,9928,27.69,East Texas,74.26,25.74
Martin,77.3,19.3,3.2,0,56021,13.6,5753,5.25,West Texas,94.06,5.94
Mason,89.1,23.7,3.3,0,44601,12.7,4280,4.32,West Texas,96.61,3.39
Matagorda,77.7,15.2,7.2,63.58,40596,18.4,36552,33.36,Upper Gulf Coast,83.73,16.27
Maverick,58.7,11.7,9.3,90.74,30505,25.9,58485,42.41,South Texas,96.47,3.53
McCulloch,77.5,16.1,3.6,64.67,37927,18.5,7987,7.77,West Texas,93.38,6.62
McLennan,83.8,22.2,3.8,76.65,41254,18.9,254607,226.5,Central Texas,79.97,20.03
McMullen,81.4,16.2,1.9,0,72150,11.1,749,0.62,South Texas,93.19,6.81
Medina,82.5,19.4,3.8,38.44,39403,12.3,50921,34.71,South Texas,93.67,6.33
Menard,78.9,15.1,4.8,0,35311,21.6,2139,2.49,West Texas,95.95,4.05
Midland,83.4,26.2,3,87.71,124455,10.1,172578,152.03,West Texas,88.41,11.59
Milam,80.3,15.7,5,43.82,36135,15.6,25131,24.34,Central Texas,86.34,13.66
Mills,83.1,22.8,3.5,0,37153,14.6,4921,6.6,Central Texas,96.34,3.66
Mitchell,74.8,11.1,5.5,63.26,31913,21.4,8145,10.32,West Texas,84.02,15.98
Montague,82.1,14.8,4,41.06,42074,13.8,19596,21.18,North Texas,95.81,4.19
Montgomery,86.8,33,4.3,77.27,63605,9.3,590925,437.49,Upper Gulf Coast,88.65,11.35
